purchase_date,ticker,quantity,total_cost_ars,total_cost_usd,asset_type,original_price,original_currency,underlying_asset,option_type,strike_price,expiration_date,broker_transaction_id,purchase_id
2025-03-10 00:00:00.000000,YPFD,9.0,344132.7984,279.6963526715324,ACCION,38200.0,ARS,,,,,33519490.0,
2025-03-12 00:00:00.000000,YPFD,5.0,201945.294,163.71066758542418,ACCION,40350.0,ARS,,,,,33705663.0,
2025-03-17 00:00:00.000000,YPFD,50.0,2249675.58,1731.4253455653727,ACCION,44950.0,ARS,,,,,34094944.0,
2025-06-30 00:00:00.000000,YPFD,33.0,1262646.0594,1024.1850534136904,ACCION,38225.0,ARS,,,,,50345577.0,
2025-06-30 00:00:00.000000,YPFD,75.0,2865896.505,2324.648576851634,ACCION,38175.0,ARS,,,,,50345662.0,
2025-05-22 00:00:00.000000,ECOG,9.0,267558.7464,234.01912535423156,ACCION,29700.0,ARS,,,,,43889327.0,
2025-02-19 00:00:00.000000,AUSO,144.0,512415.53856,424.8673685886274,ACCION,3555.0,ARS,,,,,31910725.0,
2025-02-19 00:00:00.000000,AUSO,40.0,143739.0048,119.18064175911648,ACCION,3590.0,ARS,,,,,31911017.0,
2025-03-27 00:00:00.000000,AUSO,110.0,334723.6992,256.997404256626,ACCION,3040.0,ARS,,,,,35406723.0,
2025-07-02 00:00:00.000000,AUSO,10.0,24173.3772,19.608037766764273,ACCION,2415.0,ARS,,,,,50667881.0,
2025-07-02 00:00:00.000000,AUSO,10.0,24073.2804,19.52684506379631,ACCION,2405.0,ARS,,,,,50668509.0,
2025-07-02 00:00:00.000000,AUSO,10.0,24173.3772,19.608037766764273,ACCION,2415.0,ARS,,,,,50669095.0,
2025-07-02 00:00:00.000000,AUSO,10.0,24223.4256,19.648634118248257,ACCION,2420.0,ARS,,,,,50670350.0,
2025-07-02 00:00:00.000000,TTS26,370541.0,400009.0094752376,324.4640457120914,RF,1.0795,ARS,,,,,50667217.0,
2025-07-02 00:00:00.000000,T17O5,344352.0,500004.10399104,405.5742511060244,RF,1.452,ARS,,,,,50667606.0,
2025-07-02 00:00:00.000000,T17O5,343053.0,500004.747497475,405.5747730810209,RF,1.4575,ARS,,,,,50669073.0,
2025-07-02 00:00:00.000000,T17O5,343760.0,500003.9199892,405.5741018544325,RF,1.4545,ARS,,,,,50670301.0,
2025-02-19 00:00:00.000000,MELI,3.0,63211.1292,52.03589943692582,CEDEAR,21050.0,ARS,,,,,31904434.0,
2025-02-19 00:00:00.000000,MELI,4.0,84081.312,69.21639830089894,CEDEAR,21000.0,ARS,,,,,31905734.0,
2025-02-19 00:00:00.000000,MELI,14.0,294985.2696,242.8341973723205,CEDEAR,21050.0,ARS,,,,,31907919.0,
2025-02-19 00:00:00.000000,MELI,20.0,421407.528,346.9059962461721,CEDEAR,21050.0,ARS,,,,,31911108.0,
2025-02-19 00:00:00.000000,MELI,10.0,210703.764,173.45299812308605,CEDEAR,21050.0,ARS,,,,,31930805.0,
2025-02-20 00:00:00.000000,MELI,2.0,41640.2688,34.183203053811106,CEDEAR,20800.0,ARS,,,,,32015994.0,
2025-07-02 00:00:00.000000,MELI,40.0,1011978.648,820.6918026405425,CEDEAR,25275.0,ARS,,,,,50667233.0,
2025-01-30 00:00:00.000000,NU,15.0,121680.6213168,102.60008374309636,CEDEAR,6.84,USD,,,,,28201745.0,
2025-01-31 00:00:00.000000,NU,50.0,409159.98396,345.0002815922831,CEDEAR,6.9,USD,,,,,28294093.0,
2025-01-31 00:00:00.000000,NU,10.0,79815.84614640001,67.30005493090046,CEDEAR,6.73,USD,,,,,28328161.0,
2025-01-31 00:00:00.000000,NU,6.0,47889.50768784001,40.38003295854027,CEDEAR,6.73,USD,,,,,28327974.0,
2025-01-31 00:00:00.000000,NU,10.0,81831.996792,69.00005631845663,CEDEAR,6.9,USD,,,,,28393804.0,
2025-02-04 00:00:00.000000,NU,12.0,94771.65024,78.94479728108756,CEDEAR,7890.0,ARS,,,,,28787058.0,
2025-02-04 00:00:00.000000,NU,5.0,39538.236,32.93535585765694,CEDEAR,7900.0,ARS,,,,,28787035.0,
2025-02-21 00:00:00.000000,NU,221.0,1526376.1032,1253.0280369412633,CEDEAR,6900.0,ARS,,,,,32138355.0,
2025-02-21 00:00:00.000000,NU,68.0,460805.62848,378.28315764068464,CEDEAR,6770.0,ARS,,,,,32215025.0,
2025-04-03 00:00:00.000000,NU,20.0,135330.8736,101.21601555663588,CEDEAR,6760.0,ARS,,,,,36598159.0,
2025-04-03 00:00:00.000000,NU,20.0,137533.0032,102.86302172693615,CEDEAR,6870.0,ARS,,,,,36611826.0,
2025-04-04 00:00:00.000000,NU,40.0,253044.7104,189.25598175086947,CEDEAR,6320.0,ARS,,,,,36893339.0,
2025-05-12 00:00:00.000000,NU,67.0,503657.06856,434.8318787857858,CEDEAR,7510.0,ARS,,,,,42325418.0,
2025-05-21 00:00:00.000000,NU,137.0,961299.63816,826.4267865887207,CEDEAR,7010.0,ARS,,,,,43652430.0,
2025-01-31 00:00:00.000000,VIST,25.0,554441.4275400001,467.5003815779489,CEDEAR,18.7,USD,,,,,28296139.0,
2025-02-19 00:00:00.000000,VIST,30.0,638867.826,525.9210263755804,CEDEAR,21275.0,ARS,,,,,31911059.0,
2025-02-19 00:00:00.000000,VIST,29.0,616846.53,507.7929220586783,CEDEAR,21250.0,ARS,,,,,31911081.0,
2025-02-19 00:00:00.000000,VIST,94.0,1990024.4808,1638.2038269287762,CEDEAR,21150.0,ARS,,,,,31933152.0,
2025-03-10 00:00:00.000000,VIST,50.0,855827.64,697.825899773324,CEDEAR,17100.0,ARS,,,,,33519818.0,
2025-04-03 00:00:00.000000,VIST,10.0,194187.792,145.23599865375266,CEDEAR,19400.0,ARS,,,,,36598558.0,
2025-07-03 11:26:33.948196,GFGC69452G,8.0,152599.96,123.53364210799545,OPCION,18999.0,ARS,,,,,,20250703112737698112
